"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.8","seurat_clusters"
"cell_653","cell",2859,1724,0,"9","9"
"cell_654","cell",2853,1702,0,"8","8"
"cell_655","cell",2850,1527,0,"2","2"
"cell_656","cell",2851,1550,0.420904945633111,"4","4"
"cell_657","cell",2845,1800,0.070298769771529,"2","2"
"cell_658","cell",2849,1626,0.0702000702000702,"5","5"
"cell_659","cell",2848,1719,0.105337078651685,"1","1"
"cell_660","cell",2842,1779,0,"2","2"
"cell_661","cell",2840,1568,0.0352112676056338,"0","0"
"cell_662","cell",2838,1796,0.0352360817477097,"2","2"
"cell_663","cell",2834,1486,0,"7","7"
"cell_664","cell",2821,1607,0.0354484225451967,"1","1"
"cell_665","cell",2818,1509,0.07097232079489,"0","0"
"cell_666","cell",2821,1634,0,"3","3"
"cell_667","cell",2819,1432,0.0354735721887194,"1","1"
"cell_668","cell",2815,1623,0.142095914742451,"3","3"
"cell_669","cell",2810,1790,0,"5","5"
"cell_670","cell",2807,1657,0.0356252226576416,"5","5"
"cell_671","cell",2806,1793,0.0356379187455453,"5","5"
"cell_672","cell",2797,1736,0.107257776188774,"2","2"
"cell_673","cell",2797,1623,0,"5","5"
"cell_674","cell",2797,1659,0,"2","2"
"cell_675","cell",2793,1822,0.0716075904045829,"5","5"
"cell_676","cell",2797,1439,0,"3","3"
"cell_677","cell",2792,1806,0,"1","1"
"cell_678","cell",2792,1607,0.0716332378223496,"0","0"
"cell_679","cell",2793,1393,0,"3","3"
"cell_680","cell",2790,1352,0,"1","1"
"cell_681","cell",2791,1709,0.107488355428162,"2","2"
"cell_682","cell",2785,1646,0.143626570915619,"0","0"
"cell_683","cell",2781,1630,0,"4","4"
"cell_684","cell",2783,1664,0,"0","0"
"cell_685","cell",2781,1646,0,"3","3"
"cell_686","cell",2782,1637,0.0718907260963336,"2","2"
"cell_687","cell",2776,1605,0,"3","3"
"cell_688","cell",2767,1672,0.0361402240693892,"0","0"
"cell_689","cell",2772,1669,0,"5","5"
"cell_690","cell",2774,1506,0.108147080028839,"1","1"
"cell_691","cell",2772,1650,0.144300144300144,"0","0"
"cell_692","cell",2766,1669,0,"2","2"
"cell_693","cell",2759,1621,0.906125407756433,"0","0"
"cell_694","cell",2750,1665,0.0363636363636364,"6","6"
"cell_695","cell",2754,1795,0,"2","2"
"cell_696","cell",2757,1461,0.108813928182807,"6","6"
"cell_697","cell",2752,1599,0.0726744186046512,"3","3"
"cell_698","cell",2746,1768,0.145666423889294,"0","0"
"cell_699","cell",2749,1650,0.0363768643142961,"5","5"
"cell_700","cell",2747,1443,0.327630141973062,"1","1"
"cell_701","cell",2741,1538,0.0364830353885443,"0","0"
"cell_702","cell",2735,1385,0.036563071297989,"1","1"
"cell_703","cell",2739,1696,0.0730193501277839,"0","0"
"cell_704","cell",2740,1562,0.0364963503649635,"2","2"
"cell_705","cell",2736,1576,0.0730994152046784,"2","2"
"cell_706","cell",2739,1607,0.255567725447243,"6","6"
"cell_707","cell",2733,1787,0,"1","1"
"cell_708","cell",2730,1623,0.0366300366300366,"6","6"
"cell_709","cell",2730,1716,0,"2","2"
"cell_710","cell",2731,1562,0,"3","3"
"cell_711","cell",2718,1565,0.0367917586460633,"3","3"
"cell_712","cell",2721,1528,0.0367511944138185,"2","2"
"cell_713","cell",2719,1615,0.110334681868334,"2","2"
"cell_714","cell",2715,1652,0,"5","5"
"cell_715","cell",2716,1468,0,"3","3"
"cell_716","cell",2712,1584,0.0368731563421829,"3","3"
"cell_717","cell",2714,1526,0,"6","6"
"cell_718","cell",2715,1485,0.110497237569061,"3","3"
"cell_719","cell",2714,1681,0,"5","5"
"cell_720","cell",2713,1542,0.110578695171397,"3","3"
"cell_721","cell",2702,1679,0,"2","2"
"cell_722","cell",2706,1554,0,"1","1"
"cell_723","cell",2709,1688,0.0369139904023625,"0","0"
"cell_724","cell",2708,1613,0.0369276218611521,"3","3"
"cell_725","cell",2707,1619,0.036941263391208,"0","0"
"cell_726","cell",2702,1608,0.0370096225018505,"2","2"
"cell_727","cell",2701,1607,0,"6","6"
"cell_728","cell",2690,1588,0.0371747211895911,"5","5"
"cell_729","cell",2697,1203,0,"1","1"
"cell_730","cell",2694,1556,0,"0","0"
"cell_731","cell",2687,1680,0.0372162262746558,"2","2"
"cell_732","cell",2685,1469,0,"6","6"
"cell_733","cell",2687,1712,0.0744324525493115,"8","8"
"cell_734","cell",2685,1296,0,"10","10"
"cell_735","cell",2684,1538,0.03725782414307,"6","6"
"cell_736","cell",2688,1586,0.037202380952381,"1","1"
"cell_737","cell",2686,1398,0.111690245718541,"1","1"
"cell_738","cell",2684,1610,0.14903129657228,"2","2"
"cell_739","cell",2684,1697,0,"5","5"
"cell_740","cell",2682,1555,0.0745712155108128,"1","1"
"cell_741","cell",2682,1665,0.0372856077554064,"3","3"
"cell_742","cell",2684,1433,0.03725782414307,"5","5"
"cell_743","cell",2682,1681,0,"2","2"
"cell_744","cell",2677,1668,0.112065745237206,"1","1"
"cell_745","cell",2676,1508,0.0373692077727952,"5","5"
"cell_746","cell",2674,1444,0,"2","2"
"cell_747","cell",2664,1531,0.0375375375375375,"6","6"
"cell_748","cell",2660,1723,0,"2","2"
"cell_749","cell",2670,1460,0.0374531835205993,"0","0"
"cell_750","cell",2666,1514,0,"0","0"
"cell_751","cell",2661,1547,0.0375798571965427,"5","5"
"cell_752","cell",2654,1536,0.113036925395629,"5","5"
"cell_753","cell",2648,1575,0.0377643504531722,"8","8"
"cell_754","cell",2644,1609,0.075642965204236,"2","2"
"cell_755","cell",2643,1404,0,"1","1"
"cell_756","cell",2644,1168,0.075642965204236,"6","6"
"cell_757","cell",2641,1604,0,"2","2"
"cell_758","cell",2640,1536,0,"7","7"
"cell_759","cell",2637,1488,0.0758437618505878,"6","6"
"cell_760","cell",2625,1671,0.0761904761904762,"2","2"
"cell_761","cell",2632,1473,0,"2","2"
"cell_762","cell",2625,1613,0.0380952380952381,"0","0"
"cell_763","cell",2621,1647,0.152613506295307,"7","7"
"cell_764","cell",2627,1538,0,"1","1"
"cell_765","cell",2624,1694,0.114329268292683,"2","2"
"cell_766","cell",2625,1665,0.0380952380952381,"2","2"
"cell_767","cell",2621,1561,0,"1","1"
