"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.5","seurat_clusters","RNA_snn_res.0.8"
"cell_956","cell",1765,1129,0.736543909348442,"0","0","0"
"cell_957","cell",1769,1225,0.678349349915206,"2","2","2"
"cell_958","cell",1766,1100,0.396375990939977,"0","0","0"
"cell_959","cell",1765,1010,0.226628895184136,"6","6","6"
"cell_960","cell",1764,1216,0.283446712018141,"1","1","1"
"cell_961","cell",1764,1126,0,"0","0","0"
"cell_962","cell",1764,1039,0.170068027210884,"0","0","0"
"cell_963","cell",1756,1199,0.455580865603645,"4","4","4"
"cell_964","cell",1758,1152,0.455062571103527,"0","0","0"
"cell_965","cell",1760,1099,0.227272727272727,"0","0","0"
"cell_966","cell",1754,1123,0.114025085518814,"5","5","5"
"cell_967","cell",1748,1171,0.28604118993135,"6","6","6"
"cell_968","cell",1753,1197,0.399315459212778,"0","0","0"
"cell_969","cell",1756,1133,0.227790432801822,"0","1","1"
"cell_970","cell",1749,1182,0.400228702115495,"5","5","5"
"cell_971","cell",1750,1170,0.171428571428571,"2","2","2"
"cell_972","cell",1751,1135,1.02798400913764,"0","0","0"
"cell_973","cell",1751,1140,0.342661336379212,"0","0","0"
"cell_974","cell",1748,1232,0.05720823798627,"4","4","4"
"cell_975","cell",1746,1095,0,"8","9","9"
"cell_976","cell",1749,1104,0.0571755288736421,"0","0","0"
"cell_977","cell",1743,1116,0.516351118760757,"0","1","1"
"cell_978","cell",1741,1137,0.172314761631246,"0","0","0"
"cell_979","cell",1745,1108,0.286532951289398,"6","6","6"
"cell_980","cell",1742,1164,0.229621125143513,"0","0","0"
"cell_981","cell",1740,1168,0.402298850574713,"2","10","10"
"cell_982","cell",1739,1067,0.115008625646924,"0","0","0"
"cell_983","cell",1738,1121,0.115074798619102,"0","0","0"
"cell_984","cell",1736,1148,0.0576036866359447,"2","2","2"
"cell_985","cell",1733,1141,0.288517022504328,"0","0","0"
"cell_986","cell",1737,1144,0.633275762809442,"0","0","0"
"cell_987","cell",1734,1144,0.865051903114187,"0","0","0"
"cell_988","cell",1730,1105,0.46242774566474,"0","8","8"
"cell_989","cell",1732,1177,0.115473441108545,"0","0","0"
"cell_990","cell",1731,1147,0.924321201617562,"0","0","0"
"cell_991","cell",1730,1152,0.0578034682080925,"0","1","1"
"cell_992","cell",1730,1097,0.289017341040462,"5","5","5"
"cell_993","cell",1732,1164,0.23094688221709,"1","1","1"
"cell_994","cell",1732,979,0.750577367205543,"3","3","3"
"cell_995","cell",1729,1171,0.0578368999421631,"2","2","2"
"cell_996","cell",1723,1220,0.464306442251886,"2","2","2"
"cell_997","cell",1729,1147,0.115673799884326,"4","4","4"
"cell_998","cell",1726,1128,0.0579374275782155,"2","2","2"
"cell_999","cell",1723,1207,0.232153221125943,"4","4","4"
"cell_1000","cell",1723,1125,0.232153221125943,"5","5","5"
"cell_1001","cell",1724,979,0,"0","0","0"
"cell_1002","cell",1720,1125,0,"4","4","4"
"cell_1003","cell",1723,1032,0.464306442251886,"0","0","0"
"cell_1004","cell",1722,965,0.40650406504065,"3","3","3"
"cell_1005","cell",1716,1223,0.233100233100233,"4","4","4"
"cell_1006","cell",1723,1023,0,"0","0","0"
"cell_1007","cell",1714,1170,0.058343057176196,"2","2","2"
"cell_1008","cell",1719,1058,0.116346713205352,"0","0","0"
"cell_1009","cell",1713,844,0.233508464681845,"3","3","3"
"cell_1010","cell",1714,1107,0.058343057176196,"0","0","0"
"cell_1011","cell",1715,1027,0.233236151603499,"0","0","0"
"cell_1012","cell",1712,1142,0.292056074766355,"2","2","2"
"cell_1013","cell",1711,1190,0.467562828755114,"0","0","0"
"cell_1014","cell",1714,1078,0,"5","5","5"
"cell_1015","cell",1713,1213,0.758902510215995,"4","4","4"
"cell_1016","cell",1714,1104,0.466744457409568,"5","5","5"
"cell_1017","cell",1707,1089,0.175746924428822,"6","6","6"
"cell_1018","cell",1711,1111,0.292226767971946,"4","4","4"
"cell_1019","cell",1710,995,0.409356725146199,"0","0","0"
"cell_1020","cell",1708,1114,0.234192037470726,"0","0","0"
"cell_1021","cell",1708,1025,0.117096018735363,"8","9","9"
"cell_1022","cell",1710,1207,0.292397660818713,"1","1","1"
"cell_1023","cell",1707,1143,0.292911540714704,"0","0","0"
"cell_1024","cell",1704,1036,1.05633802816901,"3","3","3"
"cell_1025","cell",1705,1176,0.117302052785924,"4","4","4"
"cell_1026","cell",1705,1128,0.117302052785924,"2","8","8"
"cell_1027","cell",1703,1168,0,"2","2","2"
"cell_1028","cell",1701,1146,0.411522633744856,"0","0","0"
"cell_1029","cell",1694,911,0.413223140495868,"3","3","3"
"cell_1030","cell",1696,1142,0.17688679245283,"0","8","8"
"cell_1031","cell",1700,1063,0.117647058823529,"0","0","0"
"cell_1032","cell",1696,1060,0.294811320754717,"8","9","9"
"cell_1033","cell",1695,1024,0.176991150442478,"1","1","1"
"cell_1034","cell",1698,1046,0.0588928150765607,"0","0","0"
"cell_1035","cell",1697,956,0.117855038302887,"0","0","0"
"cell_1036","cell",1692,973,0.177304964539007,"3","3","3"
"cell_1037","cell",1693,1133,0.236266981689309,"2","2","2"
"cell_1038","cell",1693,1175,0.531600708800945,"0","0","0"
"cell_1039","cell",1688,938,0,"3","3","3"
"cell_1040","cell",1694,1096,0,"2","2","2"
"cell_1041","cell",1693,997,0,"0","0","0"
"cell_1042","cell",1689,1044,0.059206631142688,"1","1","1"
"cell_1043","cell",1684,1135,0.0593824228028504,"0","0","0"
"cell_1044","cell",1685,848,0.356083086053412,"3","3","3"
"cell_1045","cell",1686,1210,0.0593119810201661,"2","2","2"
"cell_1046","cell",1681,1238,0.297441998810232,"1","1","1"
"cell_1047","cell",1682,1105,0.237812128418549,"0","0","0"
"cell_1048","cell",1682,1005,0.118906064209275,"0","8","8"
"cell_1049","cell",1680,1088,0.119047619047619,"0","8","8"
"cell_1050","cell",1681,948,0.951814396192742,"3","3","3"
"cell_1051","cell",1679,968,0.119118522930316,"0","0","0"
"cell_1052","cell",1671,1029,0.119688809096349,"0","0","0"
"cell_1053","cell",1672,978,0.0598086124401914,"3","3","3"
"cell_1054","cell",1670,921,2.21556886227545,"3","3","3"
"cell_1055","cell",1669,1108,0.0599161174355902,"0","0","0"
"cell_1056","cell",1668,1192,0.419664268585132,"8","9","9"
"cell_1057","cell",1667,1090,0.23995200959808,"0","0","0"
"cell_1058","cell",1663,1028,0.0601322910402886,"4","4","4"
"cell_1059","cell",1666,878,0.0600240096038415,"3","3","3"
"cell_1060","cell",1667,940,0.599880023995201,"3","3","3"
"cell_1061","cell",1665,1007,0.720720720720721,"0","0","0"
"cell_1062","cell",1665,1205,0.0600600600600601,"4","4","4"
"cell_1063","cell",1668,974,0.359712230215827,"3","3","3"
"cell_1064","cell",1661,1129,0.301023479831427,"1","1","1"
"cell_1065","cell",1663,1068,0.0601322910402886,"4","4","4"
"cell_1066","cell",1656,1146,0,"4","4","4"
"cell_1067","cell",1658,1138,0.180940892641737,"2","2","2"
"cell_1068","cell",1658,1103,0.120627261761158,"0","8","8"
"cell_1069","cell",1658,1068,0.723763570566948,"0","0","0"
"cell_1070","cell",1658,1080,0.723763570566948,"0","0","0"
"cell_1071","cell",1656,1046,0.120772946859903,"2","2","2"
"cell_1072","cell",1653,973,0.0604960677555959,"0","0","0"
"cell_1073","cell",1657,1145,0.12070006035003,"4","4","4"
"cell_1074","cell",1654,1143,0.30229746070133,"0","0","0"
"cell_1075","cell",1656,1098,0.0603864734299517,"0","0","0"
"cell_1076","cell",1650,1230,0.242424242424242,"4","4","4"
"cell_1077","cell",1648,1031,0.0606796116504854,"0","0","0"
"cell_1078","cell",1652,1135,0.0605326876513317,"2","2","2"
"cell_1079","cell",1648,895,1.45631067961165,"0","0","0"
"cell_1080","cell",1647,1056,0.0607164541590771,"2","2","2"
"cell_1081","cell",1644,1043,0.121654501216545,"0","0","0"
"cell_1082","cell",1648,1068,0.0606796116504854,"0","0","0"
"cell_1083","cell",1646,1082,0.182260024301337,"0","0","0"
"cell_1084","cell",1640,1091,0.0609756097560976,"2","2","2"
"cell_1085","cell",1640,1170,0.121951219512195,"1","1","1"
"cell_1086","cell",1636,1176,0.183374083129584,"4","4","4"
"cell_1087","cell",1637,1088,0.30543677458766,"1","1","1"
"cell_1088","cell",1635,1047,0.305810397553517,"0","0","0"
"cell_1089","cell",1636,1081,0.305623471882641,"2","1","1"
"cell_1090","cell",1632,1057,0.0612745098039216,"0","8","8"
"cell_1091","cell",1633,958,0.306184935701164,"3","3","3"
"cell_1092","cell",1626,1166,0.18450184501845,"2","2","2"
"cell_1093","cell",1629,1000,0,"2","2","2"
"cell_1094","cell",1632,1108,0.122549019607843,"0","0","0"
"cell_1095","cell",1627,1084,0.122925629993854,"1","1","1"
"cell_1096","cell",1628,937,0.184275184275184,"3","3","3"
"cell_1097","cell",1631,1134,0.245248313917842,"2","1","1"
"cell_1098","cell",1624,1099,0,"4","4","4"
"cell_1099","cell",1628,902,0.368550368550369,"3","3","3"
"cell_1100","cell",1624,1048,0.061576354679803,"0","0","0"
"cell_1101","cell",1624,1130,0.123152709359606,"0","0","0"
"cell_1102","cell",1618,1098,0.123609394313968,"6","6","6"
"cell_1103","cell",1619,930,0.308832612723904,"0","10","10"
"cell_1104","cell",1621,1138,0,"4","4","4"
"cell_1105","cell",1614,1184,0.309789343246592,"4","4","4"
"cell_1106","cell",1618,1046,0,"6","6","6"
"cell_1107","cell",1617,1072,0,"0","0","0"
"cell_1108","cell",1610,1041,0.496894409937888,"2","2","2"
"cell_1109","cell",1615,1022,0.185758513931889,"5","5","5"
"cell_1110","cell",1611,1055,0,"2","1","1"
"cell_1111","cell",1611,1072,0.310366232153942,"1","1","1"
"cell_1112","cell",1613,947,0.123992560446373,"0","0","0"
"cell_1113","cell",1611,1082,0.124146492861577,"5","5","5"
"cell_1114","cell",1610,1110,0.186335403726708,"1","1","1"
"cell_1115","cell",1601,1041,0,"2","2","2"
"cell_1116","cell",1602,1076,0.31210986267166,"4","4","4"
"cell_1117","cell",1605,1011,0.311526479750779,"1","1","1"
"cell_1118","cell",1597,1023,0.0626174076393237,"6","6","6"
"cell_1119","cell",1602,1084,1.24843945068664,"0","0","0"
"cell_1120","cell",1599,1020,0.187617260787992,"2","2","2"
"cell_1121","cell",1599,1087,0,"2","10","10"
"cell_1122","cell",1595,917,0.501567398119122,"3","3","3"
"cell_1123","cell",1601,986,0.499687695190506,"3","3","3"
"cell_1124","cell",1597,950,0.50093926111459,"3","3","3"
"cell_1125","cell",1597,1067,0.50093926111459,"0","0","0"
"cell_1126","cell",1596,1018,0.31328320802005,"5","5","5"
"cell_1127","cell",1593,1065,0.0627746390458255,"2","2","2"
"cell_1128","cell",1591,1006,0.188560653676933,"4","4","4"
"cell_1129","cell",1589,992,0.12586532410321,"2","2","2"
"cell_1130","cell",1589,986,0.377595972309629,"6","6","6"
"cell_1131","cell",1593,1051,0.0627746390458255,"4","4","4"
"cell_1132","cell",1588,1117,0.251889168765743,"0","0","0"
"cell_1133","cell",1587,1031,0.0630119722747322,"0","0","0"
"cell_1134","cell",1586,1104,0.189155107187894,"2","2","2"
"cell_1135","cell",1586,1032,0.252206809583859,"8","9","9"
"cell_1136","cell",1581,1159,0.189753320683112,"1","1","1"
"cell_1137","cell",1573,1036,0.317863954227591,"2","2","2"
"cell_1138","cell",1584,1087,0.126262626262626,"4","4","4"
"cell_1139","cell",1578,1151,0.126742712294043,"1","1","1"
"cell_1140","cell",1579,968,0.0633312222925903,"1","1","1"
"cell_1141","cell",1579,1010,0.0633312222925903,"0","0","0"
"cell_1142","cell",1577,1050,0.634115409004439,"0","1","1"
"cell_1143","cell",1577,1081,0.253646163601775,"4","4","4"
"cell_1144","cell",1580,1052,0.189873417721519,"0","0","0"
"cell_1145","cell",1564,874,0.383631713554987,"3","3","3"
"cell_1146","cell",1576,997,0.253807106598985,"2","2","2"
"cell_1147","cell",1574,992,0.381194409148666,"0","0","0"
"cell_1148","cell",1575,1048,0.380952380952381,"7","7","7"
"cell_1149","cell",1575,1051,0.634920634920635,"7","7","7"
"cell_1150","cell",1573,1094,0.0635727908455181,"2","2","2"
"cell_1151","cell",1573,1083,0,"4","4","4"
"cell_1152","cell",1573,1042,0.381436745073109,"2","2","2"
"cell_1153","cell",1571,1028,0.509229789942712,"7","7","7"
"cell_1154","cell",1573,942,0.635727908455181,"3","3","3"
"cell_1155","cell",1571,839,0.063653723742839,"3","3","3"
"cell_1156","cell",1564,1073,0.319693094629156,"0","0","0"
"cell_1157","cell",1565,982,0.319488817891374,"0","0","0"
"cell_1158","cell",1561,1069,0.25624599615631,"4","4","4"
"cell_1159","cell",1567,1053,0,"5","5","5"
"cell_1160","cell",1567,1021,0.1914486279515,"2","2","2"
"cell_1161","cell",1563,1005,0.447856685860525,"0","0","0"
"cell_1162","cell",1558,1021,0.192554557124519,"2","2","2"
"cell_1163","cell",1563,924,0.319897632757518,"3","3","3"
"cell_1164","cell",1559,1068,0.256574727389352,"0","1","1"
"cell_1165","cell",1555,897,0.0643086816720257,"3","3","3"
"cell_1166","cell",1555,1063,0.45016077170418,"1","1","1"
"cell_1167","cell",1560,874,0.192307692307692,"3","3","3"
"cell_1168","cell",1556,1120,0.51413881748072,"4","4","4"
"cell_1169","cell",1555,945,0.0643086816720257,"3","3","3"
"cell_1170","cell",1554,1008,0.321750321750322,"0","0","0"
"cell_1171","cell",1554,1004,0.0643500643500644,"5","5","5"
"cell_1172","cell",1547,1006,0.193923723335488,"2","2","2"
"cell_1173","cell",1550,1113,0,"1","1","1"
"cell_1174","cell",1548,1053,0.0645994832041344,"2","2","2"
"cell_1175","cell",1547,1011,0,"2","2","2"
"cell_1176","cell",1546,1024,0.258732212160414,"0","0","0"
"cell_1177","cell",1543,1016,0.972132209980557,"2","10","10"
"cell_1178","cell",1541,1007,0.259571706683971,"3","3","3"
"cell_1179","cell",1544,997,0.129533678756477,"2","10","10"
"cell_1180","cell",1540,1047,0.324675324675325,"2","2","2"
"cell_1181","cell",1539,1105,0.389863547758285,"2","2","2"
"cell_1182","cell",1543,1027,0.0648088139987038,"2","1","1"
"cell_1183","cell",1541,928,0.194678780012979,"0","0","0"
"cell_1184","cell",1541,1070,0,"1","1","1"
"cell_1185","cell",1534,821,0.195567144719687,"3","3","3"
"cell_1186","cell",1536,1049,0.5859375,"0","0","0"
"cell_1187","cell",1536,1062,0.520833333333333,"0","0","0"
"cell_1188","cell",1534,1005,0.195567144719687,"0","0","0"
"cell_1189","cell",1534,987,0,"5","5","5"
"cell_1190","cell",1531,946,1.37165251469628,"3","3","3"
"cell_1191","cell",1528,1020,0.130890052356021,"0","0","0"
"cell_1192","cell",1528,1052,0,"2","2","2"
"cell_1193","cell",1532,873,0.130548302872063,"0","8","8"
"cell_1194","cell",1529,1052,0.13080444735121,"0","0","0"
"cell_1195","cell",1527,990,0.196463654223969,"7","7","7"
"cell_1196","cell",1526,1064,0.524246395806029,"1","1","1"
"cell_1197","cell",1524,919,0.26246719160105,"3","3","3"
"cell_1198","cell",1525,958,0.39344262295082,"3","3","3"
"cell_1199","cell",1522,1018,0.0657030223390276,"0","0","0"
"cell_1200","cell",1524,1101,0.196850393700787,"2","2","2"
"cell_1201","cell",1522,1057,0.26281208935611,"2","10","10"
"cell_1202","cell",1521,1110,0.262984878369494,"4","4","4"
"cell_1203","cell",1521,1035,0,"2","2","2"
"cell_1204","cell",1521,838,1.11768573307035,"3","3","3"
"cell_1205","cell",1517,1034,0.0659195781147001,"1","2","2"
"cell_1206","cell",1517,1118,0.0659195781147001,"2","2","2"
"cell_1207","cell",1519,1002,0.0658327847267939,"5","5","5"
"cell_1208","cell",1515,1052,0.132013201320132,"0","0","0"
"cell_1209","cell",1517,869,0.1318391562294,"0","0","0"
"cell_1210","cell",1516,975,0.131926121372032,"6","6","6"
"cell_1211","cell",1513,926,0.132187706543291,"8","9","9"
"cell_1212","cell",1516,999,0.197889182058048,"5","5","5"
"cell_1213","cell",1512,1032,0.462962962962963,"4","4","4"
"cell_1214","cell",1510,881,0,"3","3","3"
"cell_1215","cell",1505,1041,0.0664451827242525,"3","3","3"
"cell_1216","cell",1514,1032,0.396301188903567,"0","0","0"
"cell_1217","cell",1510,805,0.132450331125828,"6","6","6"
"cell_1218","cell",1508,878,0,"3","3","3"
"cell_1219","cell",1510,947,0.0662251655629139,"0","1","1"
"cell_1220","cell",1509,909,0.662690523525513,"3","3","3"
"cell_1221","cell",1508,1022,0.0663129973474801,"0","0","0"
"cell_1222","cell",1506,973,0.199203187250996,"0","0","0"
"cell_1223","cell",1507,903,0.39814200398142,"3","3","3"
"cell_1224","cell",1504,1045,0,"4","2","2"
"cell_1225","cell",1501,1138,0,"4","4","4"
"cell_1226","cell",1507,921,0.59721300597213,"0","0","0"
"cell_1227","cell",1501,1050,0.266489007328448,"2","1","1"
"cell_1228","cell",1496,1008,0,"8","9","9"
"cell_1229","cell",1501,1015,0.33311125916056,"2","2","2"
"cell_1230","cell",1499,1036,0.066711140760507,"0","0","0"
"cell_1231","cell",1497,1009,0,"1","1","1"
"cell_1232","cell",1495,1025,0.20066889632107,"0","1","1"
"cell_1233","cell",1494,1029,0.401606425702811,"2","2","2"
"cell_1234","cell",1488,1010,0.672043010752688,"0","0","0"
"cell_1235","cell",1492,1043,0.0670241286863271,"0","0","0"
"cell_1236","cell",1491,966,0.0670690811535882,"0","0","0"
"cell_1237","cell",1491,1033,0.201207243460765,"2","2","2"
"cell_1238","cell",1489,961,0.537273337810611,"0","0","0"
"cell_1239","cell",1487,1060,1.47948890383322,"0","0","0"
"cell_1240","cell",1487,994,0.336247478143914,"4","4","4"
"cell_1241","cell",1486,917,0.0672947510094213,"2","2","2"
"cell_1242","cell",1487,972,0.336247478143914,"0","0","0"
"cell_1243","cell",1486,929,0.874831763122476,"0","0","0"
"cell_1244","cell",1487,1008,0.0672494956287828,"0","0","0"
"cell_1245","cell",1482,1004,2.56410256410256,"0","11","11"
"cell_1246","cell",1482,898,1.21457489878543,"3","3","3"
"cell_1247","cell",1478,990,0.87956698240866,"0","0","0"
"cell_1248","cell",1476,940,0,"1","1","1"
"cell_1249","cell",1473,956,0.0678886625933469,"2","2","2"
"cell_1250","cell",1477,990,0.2708192281652,"0","0","0"
"cell_1251","cell",1476,773,0,"3","3","3"
"cell_1252","cell",1473,1045,0.135777325186694,"2","2","2"
"cell_1253","cell",1472,959,0,"6","6","6"
"cell_1254","cell",1473,991,0.610997963340122,"0","0","0"
"cell_1255","cell",1472,935,0.543478260869565,"3","3","3"
"cell_1256","cell",1467,962,0.0681663258350375,"6","6","6"
"cell_1257","cell",1460,1033,0.136986301369863,"1","1","1"
"cell_1258","cell",1463,937,0.136705399863295,"1","1","1"
"cell_1259","cell",1463,1000,0.546821599453178,"2","2","2"
"cell_1260","cell",1462,989,0.0683994528043776,"2","2","2"
"cell_1261","cell",1463,965,0,"2","2","2"
"cell_1262","cell",1460,1026,0.136986301369863,"0","0","0"
"cell_1263","cell",1461,916,0,"6","6","6"
"cell_1264","cell",1460,1072,0.273972602739726,"2","2","2"
"cell_1265","cell",1464,839,1.09289617486339,"3","3","3"
"cell_1266","cell",1462,883,0.615595075239398,"3","3","3"
"cell_1267","cell",1460,996,0.0684931506849315,"0","0","0"
"cell_1268","cell",1457,996,0.274536719286205,"4","4","4"
"cell_1269","cell",1456,959,0.137362637362637,"2","2","2"
"cell_1270","cell",1456,914,0.274725274725275,"1","1","1"
"cell_1271","cell",1454,964,0,"0","0","0"
"cell_1272","cell",1449,994,0.62111801242236,"0","8","8"
"cell_1273","cell",1453,793,0.344115622849277,"3","3","3"
"cell_1274","cell",1449,993,0.41407867494824,"0","0","0"
"cell_1275","cell",1449,972,0,"0","0","0"
"cell_1276","cell",1449,977,0.20703933747412,"2","2","2"
"cell_1277","cell",1447,940,0.345542501727713,"5","5","5"
"cell_1278","cell",1450,914,0.275862068965517,"0","0","0"
"cell_1279","cell",1448,994,0.069060773480663,"1","1","1"
"cell_1280","cell",1446,801,0.345781466113416,"3","3","3"
"cell_1281","cell",1443,934,0.346500346500347,"0","0","0"
"cell_1282","cell",1441,971,0.416377515614157,"2","2","2"
"cell_1283","cell",1441,850,0.0693962526023595,"3","3","3"
"cell_1284","cell",1439,976,0.486448922863099,"8","9","9"
"cell_1285","cell",1441,984,0.0693962526023595,"4","2","2"
"cell_1286","cell",1437,860,0.069589422407794,"3","3","3"
"cell_1287","cell",1435,1030,0.0696864111498258,"0","0","0"
"cell_1288","cell",1433,966,0.976971388695045,"7","7","7"
"cell_1289","cell",1433,974,0.558269364968597,"0","0","0"
"cell_1290","cell",1431,915,0.489168413696716,"3","3","3"
"cell_1291","cell",1430,903,0.41958041958042,"0","0","0"
"cell_1292","cell",1425,942,0.350877192982456,"2","2","2"
"cell_1293","cell",1430,1063,0.41958041958042,"1","1","1"
"cell_1294","cell",1431,1005,0.139762403913347,"3","3","3"
"cell_1295","cell",1430,956,0.0699300699300699,"6","6","6"
"cell_1296","cell",1429,984,0.209937018894332,"2","2","2"
"cell_1297","cell",1428,1057,0.700280112044818,"0","0","0"
"cell_1298","cell",1425,914,0.280701754385965,"0","0","0"
"cell_1299","cell",1429,980,0.139958012596221,"5","5","5"
"cell_1300","cell",1426,1021,0.701262272089762,"5","5","5"
"cell_1301","cell",1424,1000,0.210674157303371,"2","2","2"
"cell_1302","cell",1425,916,0.280701754385965,"6","6","6"
"cell_1303","cell",1424,820,0,"3","3","3"
"cell_1304","cell",1422,980,0,"0","1","1"
"cell_1305","cell",1424,982,0.140449438202247,"4","4","4"
"cell_1306","cell",1422,1045,0.140646976090014,"4","4","4"
"cell_1307","cell",1421,987,0.211118930330753,"2","2","2"
"cell_1308","cell",1425,934,0.0701754385964912,"0","0","0"
"cell_1309","cell",1421,887,0.492610837438424,"0","0","0"
"cell_1310","cell",1421,956,0.140745953553835,"0","0","0"
"cell_1311","cell",1418,1008,0.211565585331453,"0","0","0"
"cell_1312","cell",1421,880,0.492610837438424,"0","0","0"
"cell_1313","cell",1421,862,0.844475721323012,"0","0","0"
"cell_1314","cell",1421,977,0.140745953553835,"0","8","8"
"cell_1315","cell",1418,889,0.141043723554302,"0","0","0"
"cell_1316","cell",1417,924,0.917431192660551,"0","0","0"
"cell_1317","cell",1418,966,0.0705218617771509,"0","0","0"
"cell_1318","cell",1418,888,0.211565585331453,"0","0","0"
"cell_1319","cell",1414,969,0.212164073550212,"4","4","4"
"cell_1320","cell",1412,834,0.141643059490085,"3","3","3"
"cell_1321","cell",1417,926,0.141143260409315,"2","1","1"
"cell_1322","cell",1415,924,0,"1","1","1"
"cell_1323","cell",1414,956,0,"0","0","0"
"cell_1324","cell",1416,925,0.0706214689265537,"5","5","5"
"cell_1325","cell",1413,976,0,"4","4","4"
"cell_1326","cell",1415,927,0.0706713780918728,"0","0","0"
"cell_1327","cell",1409,996,0,"4","4","4"
"cell_1328","cell",1411,952,0,"6","6","6"
"cell_1329","cell",1406,1015,0.213371266002845,"0","0","0"
"cell_1330","cell",1412,1012,0.212464589235128,"0","0","0"
"cell_1331","cell",1404,1046,0,"0","1","1"
"cell_1332","cell",1407,1012,0.0710732054015636,"4","4","4"
"cell_1333","cell",1406,952,0.0711237553342817,"6","6","6"
"cell_1334","cell",1403,975,0.142551674982181,"0","0","0"
"cell_1335","cell",1407,871,0.0710732054015636,"5","5","5"
"cell_1336","cell",1402,895,0.285306704707561,"0","8","8"
"cell_1337","cell",1401,865,0.285510349750178,"3","3","3"
"cell_1338","cell",1401,851,0.356887937187723,"5","5","5"
"cell_1339","cell",1404,937,0.427350427350427,"2","2","2"
"cell_1340","cell",1397,951,0.214745884037223,"0","0","0"
"cell_1341","cell",1396,937,0.214899713467049,"0","0","0"
"cell_1342","cell",1397,780,2.14745884037223,"3","3","3"
"cell_1343","cell",1391,962,0.287562904385334,"1","1","1"
"cell_1344","cell",1399,907,0.714796283059328,"0","0","0"
"cell_1345","cell",1399,900,0.0714796283059328,"0","0","0"
"cell_1346","cell",1398,964,0.572246065808298,"0","0","0"
"cell_1347","cell",1398,959,1.07296137339056,"0","0","0"
"cell_1348","cell",1393,914,0.0717875089734386,"0","0","0"
"cell_1349","cell",1390,994,0.359712230215827,"4","4","4"
"cell_1350","cell",1391,948,0,"0","0","0"
"cell_1351","cell",1392,999,0.359195402298851,"0","0","0"
"cell_1352","cell",1388,972,0.360230547550432,"5","5","5"
"cell_1353","cell",1392,926,0.14367816091954,"5","5","5"
"cell_1354","cell",1387,865,0.0720980533525595,"0","0","0"
"cell_1355","cell",1385,881,0.0722021660649819,"0","8","8"
"cell_1356","cell",1386,990,0.144300144300144,"2","2","2"
"cell_1357","cell",1381,931,0.0724112961622013,"0","0","0"
"cell_1358","cell",1380,977,0.072463768115942,"1","1","1"
"cell_1359","cell",1378,885,0,"1","1","1"
"cell_1360","cell",1378,918,0.725689404934688,"0","11","11"
"cell_1361","cell",1380,754,0.217391304347826,"3","3","3"
"cell_1362","cell",1378,1004,0.653120464441219,"1","1","1"
"cell_1363","cell",1376,939,0,"2","2","2"
"cell_1364","cell",1376,911,0,"2","2","2"
"cell_1365","cell",1374,948,0.436681222707424,"1","1","1"
"cell_1366","cell",1370,973,0.145985401459854,"0","1","1"
"cell_1367","cell",1370,969,0.364963503649635,"0","0","0"
"cell_1368","cell",1362,987,0.146842878120411,"0","0","0"
"cell_1369","cell",1366,862,0.146412884333821,"2","2","2"
"cell_1370","cell",1367,898,0.292611558156547,"0","0","0"
"cell_1371","cell",1365,895,0,"0","0","0"
"cell_1372","cell",1362,914,0.293685756240822,"0","0","0"
"cell_1373","cell",1364,882,0.219941348973607,"2","2","2"
"cell_1374","cell",1362,966,0.0734214390602056,"2","2","2"
"cell_1375","cell",1362,963,0.367107195301028,"4","4","4"
"cell_1376","cell",1361,952,1.61645848640705,"0","0","0"
"cell_1377","cell",1363,987,0.0733675715333822,"1","1","1"
"cell_1378","cell",1365,973,0.21978021978022,"4","4","4"
"cell_1379","cell",1363,851,0,"1","1","1"
"cell_1380","cell",1356,788,0.294985250737463,"3","3","3"
"cell_1381","cell",1360,925,0.220588235294118,"2","2","2"
"cell_1382","cell",1360,999,0.147058823529412,"2","2","2"
"cell_1383","cell",1358,990,0,"1","1","1"
"cell_1384","cell",1357,927,0.0736919675755343,"1","1","1"
"cell_1385","cell",1355,914,0.590405904059041,"0","1","1"
"cell_1386","cell",1353,956,0.147819660014782,"0","0","0"
"cell_1387","cell",1353,973,0,"0","8","8"
"cell_1388","cell",1353,917,0.221729490022173,"6","6","6"
"cell_1389","cell",1354,960,1.10782865583456,"0","0","0"
"cell_1390","cell",1354,925,0.221565731166913,"2","2","2"
"cell_1391","cell",1353,944,0.295639320029564,"1","2","2"
"cell_1392","cell",1352,909,0.813609467455621,"0","0","0"
"cell_1393","cell",1349,896,0.0741289844329133,"1","1","1"
"cell_1394","cell",1349,865,0.148257968865827,"0","0","0"
"cell_1395","cell",1343,915,0.372300819061802,"2","2","2"
"cell_1396","cell",1346,968,0.0742942050520059,"0","0","0"
"cell_1397","cell",1344,917,2.08333333333333,"0","0","0"
"cell_1398","cell",1344,811,0.148809523809524,"3","3","3"
"cell_1399","cell",1343,972,0.223380491437081,"2","2","2"
"cell_1400","cell",1335,930,0.0749063670411985,"1","1","1"
"cell_1401","cell",1340,899,0.0746268656716418,"2","2","2"
"cell_1402","cell",1339,791,0.448095593726662,"3","3","3"
"cell_1403","cell",1338,935,0.373692077727952,"2","2","2"
"cell_1404","cell",1337,857,0,"0","0","0"
"cell_1405","cell",1338,904,0.298953662182362,"2","2","2"
"cell_1406","cell",1336,869,0.0748502994011976,"5","5","5"
